#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         lina-combo-v1        -          cm        1       56     2831     2779      -    no    1 0.75   0.1   55.3   0.00021 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
DCVM01000031.1       -         lina-combo-v1        -          cm        1       56    63821    63760      -    no    1 0.47   0.0   45.5     0.035 !   TPA_asm: Syntrophaceae bacterium UBA2188 UBA2188_contig_2739, whole genome shotgun sequence
NZ_MUIN01000007.1    -         lina-combo-v1        -          cm        1       56   302610   302548      -    no    1 0.63   0.0   45.5     0.035 !   Pseudomonas sp. Bc-h sc_007, whole genome shotgun sequence
NZ_QXTJ01000043.1    -         lina-combo-v1        -          cm        1       56    80813    80751      -    no    1 0.63   0.0   45.5     0.035 !   Pseudomonas sp. LS-2 scaffold10, whole genome shotgun sequence
CP064972.1           -         lina-combo-v1        -          cm        1       56   442647   442701      +    no    1 0.73   0.0   45.5     0.035 !   Holophagales bacterium isolate EsbW_18-Q3-R4-48_BAT3C.4_cln chromosome, complete genome
JADJUF010000023.1    -         lina-combo-v1        -          cm        1       56   132097   132045      -    no    1 0.70   0.0   45.5     0.036 !   Myxococcales bacterium isolate Hirt_18-Q3-R61-65_BATAC.430 tig00016880-10-1412150, whole genome shotgun sequence
DLMV01000005.1       -         lina-combo-v1        -          cm        1       56    53255    53317      +    no    1 0.56   0.0   45.5     0.036 !   TPA_asm: Deltaproteobacteria bacterium UBA7527 UBA7527_contig_2199, whole genome shotgun sequence
NZ_RBTP01000036.1    -         lina-combo-v1        -          cm        1       56    74874    74812      -    no    1 0.62   0.0   45.4     0.037 !   Pseudomonas viridiflava strain ICMP 19473 PvrICMP19473_Contig_32, whole genome shotgun sequence
NZ_JACJUG010000056.1 -         lina-combo-v1        -          cm        1       56     1599     1549      -    no    1 0.76   0.2   45.3     0.038 !   Mitsuaria sp. WAJ17 NODE_56_length_11233_cov_35.015217, whole genome shotgun sequence
JACPBF010000001.1    -         lina-combo-v1        -          cm        1       56   577684   577623      -    no    1 0.48   0.0   45.3     0.038 !   Elusimicrobia bacterium isolate NC_groundwater_250_Ag_S-0.2um_38_13 S5_GD2017_2_S2_scaffold_25, whole genome shotgun sequence
NZ_VUYU01000002.1    -         lina-combo-v1        -          cm        1       56   487980   488030      +    no    1 0.71   0.0   45.3     0.038 !   Massilia rubra strain CCM 8692 NODE_2_length_537552_cov_6.196386, whole genome shotgun sequence
DBZJ01000161.1       -         lina-combo-v1        -          cm        1       56    21807    21869      +    no    1 0.46   0.0   45.3     0.038 !   TPA_asm: Syntrophaceae bacterium UBA1163 UBA1163_contig_23797, whole genome shotgun sequence
VGRY01000009.1       -         lina-combo-v1        -          cm        1       56    44606    44546      -    no    1 0.48   0.0   45.3     0.038 !   Deltaproteobacteria bacterium isolate K_DeepCast_100m_mx_276 K_DeepCast_100m_mx_276_Ga0194127_10000260, whole genome shotgun sequence
NZ_CP014137.1        -         lina-combo-v1        -          cm        1       56  2552877  2552817      -    no    1 0.59   0.0   45.3     0.039 !   Brenneria goodwinii strain FRB141 chromosome, complete genome
CAIQLG010000292.1    -         lina-combo-v1        -          cm        1       56    12958    13007      +    no    1 0.52   0.0   45.3     0.039 !   uncultured Lentisphaerae bacterium isolate AM-lipid-01-D10_bin-0339 genome assembly, contig: bin-0339:292/606, whole genome shotgun sequence
JADHVT010000009.1    -         lina-combo-v1        -          cm        1       56     3418     3471      +    no    1 0.76   0.5   45.3     0.039 !   Acidovorax sp. isolate BS750m-G8 BS-750m-C257, whole genome shotgun sequence
VGRA01000101.1       -         lina-combo-v1        -          cm        1       56     4379     4429      +    no    1 0.80   0.8   45.3     0.039 !   Deltaproteobacteria bacterium isolate K_Offshore_0m_m1_055 K_Offshore_0m_m1_055_Ga0194134_10009430, whole genome shotgun sequence
MHBH01000003.1       -         lina-combo-v1        -          cm        1       56    89009    88960      -    no    1 0.64   0.0   45.3     0.039 !   Lentisphaerae bacterium GWF2_49_21 gwf2_scaffold_1075, whole genome shotgun sequence
DHQV01000061.1       -         lina-combo-v1        -          cm        1       56     5752     5691      -    no    1 0.63   0.0   45.3     0.039 !   TPA_asm: Deltaproteobacteria bacterium UBA5329 UBA5329_contig_35843, whole genome shotgun sequence
NZ_BDJB01000004.1    -         lina-combo-v1        -          cm        1       56    34864    34812      -    no    1 0.70   0.1   45.3     0.039 !   Sphingomonas sp. TZW2008, whole genome shotgun sequence
JACQJQ010000081.1    -         lina-combo-v1        -          cm        1       56     5581     5628      +    no    1 0.69   0.0   45.3      0.04 !   Elusimicrobia bacterium isolate NC_groundwater_1155_Ag_S-0.1um_67_28 S_p1_S3_coassembly_k141_600946, whole genome shotgun sequence
JAAQRC010000001.1    -         lina-combo-v1        -          cm        1       56  3164588  3164532      -    no    1 0.72   0.0   45.3      0.04 !   Methylobacterium sp. SyP6R 1, whole genome shotgun sequence
MGVA01000027.1       -         lina-combo-v1        -          cm        1       56    38037    38092      +    no    1 0.59   0.0   45.3      0.04 !   Elusimicrobia bacterium RIFOXYA12_FULL_51_18 rifixya3_full_scaffold_27, whole genome shotgun sequence
NZ_VDLW01000018.1    -         lina-combo-v1        -          cm        1       56    15781    15843      +    no    1 0.59   0.0   45.3      0.04 !   Pseudomonas orientalis strain CDVBN20 NODE_18_length_26253_cov_37.164703, whole genome shotgun sequence
PDZS01000068.1       -         lina-combo-v1        -          cm        1       56    21732    21678      -    no    1 0.47   0.0   45.3      0.04 !   Deltaproteobacteria bacterium YD0425bin51 scaffold68, whole genome shotgun sequence
JAEUKE010000142.1    -         lina-combo-v1        -          cm        1       56    10600    10550      -    no    1 0.78   0.4   45.2     0.041 !   Myxococcales bacterium isolate new MAG-87 k141_3705627, whole genome shotgun sequence
NZ_QFFZ01000015.1    -         lina-combo-v1        -          cm        1       56    36260    36316      +    no    1 0.44   0.1   45.2     0.041 !   Pelotomaculum propionicicum strain MGP Pmgp_15, whole genome shotgun sequence
NZ_SSMQ01000081.1    -         lina-combo-v1        -          cm        1       56    13289    13337      +    no    1 0.71   0.0   45.2     0.041 !   Polyangium fumosum strain DSM 14668 Scaffold80_1, whole genome shotgun sequence
NZ_JACIFA010000001.1 -         lina-combo-v1        -          cm        1       56   544726   544672      -    no    1 0.64   0.0   45.2     0.041 !   Sphingomonas zeae strain DSM 100049 Ga0373351_01, whole genome shotgun sequence
MGUK01000084.1       -         lina-combo-v1        -          cm        1       56    15754    15800      +    no    1 0.66   0.0   45.2     0.041 !   Elusimicrobia bacterium GWF2_62_30 gwf2_scaffold_691, whole genome shotgun sequence
MGUG01000001.1       -         lina-combo-v1        -          cm        1       56    12905    12859      -    no    1 0.66   0.0   45.2     0.041 !   Elusimicrobia bacterium GWC2_64_44 gwc2_scaffold_1018, whole genome shotgun sequence
MGTX01000004.1       -         lina-combo-v1        -          cm        1       56    27100    27150      +    no    1 0.61   0.0   45.2     0.041 !   Elusimicrobia bacterium GWA2_66_18 gwa2_scaffold_144, whole genome shotgun sequence
NZ_LUKZ01000001.1    -         lina-combo-v1        -          cm        1       56   143551   143498      -    no    1 0.67   0.0   45.2     0.042 !   Acidovorax sp. GW101-3H11 scaffold5/0, whole genome shotgun sequence
NZ_LMKL01000009.1    -         lina-combo-v1        -          cm        1       56   137635   137575      -    no    1 0.80   3.2   45.2     0.042 !   Sphingomonas sp. Leaf17 contig_7, whole genome shotgun sequence
NZ_NBBI01000001.1    -         lina-combo-v1        -          cm        1       56   444698   444753      +    no    1 0.73   0.1   45.2     0.042 !   Sphingomonas dokdonensis strain DSM 21029 SPDO_contig000001, whole genome shotgun sequence
NZ_LABZ01000067.1    -         lina-combo-v1        -          cm        1       56     8017     8073      +    no    1 0.65   0.0   45.2     0.042 !   Methylobacterium tarhaniae strain DSM 25844 contig_67, whole genome shotgun sequence
PLZQ01000507.1       -         lina-combo-v1        -          cm        1       56    21576    21522      -    no    1 0.80   2.9   45.2     0.042 !   Verrucomicrobia subdivision 3 bacterium isolate palsa_1440 73.20120700_P3D.123_contig_3934, whole genome shotgun sequence
JADGNY010000097.1    -         lina-combo-v1        -          cm        1       56    23224    23173      -    no    1 0.67   0.0   45.1     0.043 !   Thermoanaerobaculia bacterium isolate Chersky.31_28 contig-100_476, whole genome shotgun sequence
JADGNZ010000048.1    -         lina-combo-v1        -          cm        1       56    35091    35142      +    no    1 0.67   0.0   45.1     0.043 !   Thermoanaerobaculia bacterium isolate Chersky.9_17 contig-100_66, whole genome shotgun sequence
NZ_CM001514.1        -         lina-combo-v1        -          cm        1       56  3895373  3895435      +    no    1 0.62   0.0   45.1     0.044 !   Pseudomonas synxantha BG33R chromosome, whole genome shotgun sequence
VHCZ01000137.1       -         lina-combo-v1        -          cm        1       56     5278     5331      +    no    1 0.67   0.0   45.0     0.044 !   Verrucomicrobia bacterium isolate M_DeepCast_65m_m2_001 M_DeepCast_65m_m2_001_Ga0194120_10006431, whole genome shotgun sequence
JACZKP010000076.1    -         lina-combo-v1        -          cm        1       56   185357   185407      +    no    1 0.69   0.0   45.0     0.044 !   Verrucomicrobia bacterium isolate MAG48 verrucomicrobiales_1_contig_492966, whole genome shotgun sequence
JAGOOA010000002.1    -         lina-combo-v1        -          cm        1       56    30757    30818      +    no    1 0.56   0.0   45.0     0.045 !   Syntrophorhabdaceae bacterium isolate Go_SlDig_bin_68 Go_SlDig_295_length_119119_cov_31.091107, whole genome shotgun sequence
NZ_SJXH01000016.1    -         lina-combo-v1        -          cm        1       56    20449    20500      +    no    1 0.52   0.0   45.0     0.045 !   Acinetobacter sp. ANC 4862 Contig16, whole genome shotgun sequence
NZ_JABERI010000036.1 -         lina-combo-v1        -          cm        1       56    40953    40902      -    no    1 0.52   0.0   45.0     0.045 !   Acinetobacter terrae strain ANC 4282 Contig42, whole genome shotgun sequence
NZ_JQKD01000012.1    -         lina-combo-v1        -          cm        1       56   107063   107008      -    no    1 0.75   0.1   45.0     0.045 !   Xenophilus azovorans DSM 13620 Q392DRAFT_scaffold00010.10_C, whole genome shotgun sequence
NZ_FNYZ01000001.1    -         lina-combo-v1        -          cm        1       56  1068175  1068124      -    no    1 0.67   0.0   45.0     0.045 !   Sphingobium sp. AP50, whole genome shotgun sequence
MEKI01000018.1       -         lina-combo-v1        -          cm        1       56     4302     4247      -    no    1 0.71   0.0   45.0     0.046 !   Acidobacteria bacterium RBG_13_68_16 RBG_13_scaffold_1425, whole genome shotgun sequence
CAIMLX010000213.1    -         lina-combo-v1        -          cm        1       56    30446    30497      +    no    1 0.77   0.2   45.0     0.046 !   uncultured Rhizobiales bacterium isolate Loclat_bin-01400 genome assembly, contig: bin-01400:213/280, whole genome shotgun sequence
JACPVJ010000201.1    -         lina-combo-v1        -          cm        1       56     1742     1791      +    no    1 0.72   0.0   45.0     0.046 !   Myxococcales bacterium isolate NC_groundwater_781_Ag_S2p5_70_11 JBCH_GD18_4_SO25_S179_scaffold_836635, whole genome shotgun sequence
MWAR01000149.1       -         lina-combo-v1        -          cm        1       56     9415     9463      +    no    1 0.55   0.0   45.0     0.046 !   Bacterium ADurb.Bin374 isolate ADurb.Bin374 BWY66_contig000149, whole genome shotgun sequence
NZ_SLZQ01000005.1    -         lina-combo-v1        -          cm        1       56   207231   207180      -    no    1 0.60   0.0   44.9     0.047 !   Paucimonas lemoignei strain DSM 7445 Ga0244659_105, whole genome shotgun sequence
JAFKJY010000078.1    -         lina-combo-v1        -          cm        1       56    31518    31572      +    no    1 0.73   0.0   44.9     0.047 !   Hyphomicrobiales bacterium isolate SCN18_10_11_15_R4_B_69_13 SCN18_10_11_15_R4_B_scaffold_408, whole genome shotgun sequence
JACQRQ010000068.1    -         lina-combo-v1        -          cm        1       56     3302     3248      -    no    1 0.73   0.1   44.9     0.047 !   Elusimicrobia bacterium isolate NC_groundwater_1363_Ag_S-0.2um_60_33 S_p2_S4_coassembly_k141_1051778, whole genome shotgun sequence
JACPRI010000319.1    -         lina-combo-v1        -          cm        1       56     4147     4200      +    no    1 0.70   0.0   44.9     0.048 !   Verrucomicrobia bacterium isolate NC_groundwater_675_Ag_B-0.1um_59_41 B_1_S1_Biohub_coassembly_k141_3761050, whole genome shotgun sequence
NC_021658.1          -         lina-combo-v1        -          cm        1       56  5667011  5666953      -    no    1 0.78   1.3   44.9     0.048 !   Sorangium cellulosum So0157-2, complete sequence
NZ_PZZM01000001.1    -         lina-combo-v1        -          cm        1       56  3208547  3208491      -    no    1 0.68   0.0   44.9     0.048 !   Bosea sp. 124 Ga0213554_11, whole genome shotgun sequence
DBMR01000002.1       -         lina-combo-v1        -          cm        1       56     3246     3193      -    no    1 0.65   0.0   44.9     0.048 !   TPA_asm: Verrucomicrobia subdivision 3 bacterium UBA693 UBA693_contig_5646, whole genome shotgun sequence
NZ_JH725147.1        -         lina-combo-v1        -          cm        1       56  1006896  1006842      -    no    1 0.53   0.0   44.9     0.048 !   Bartonella tamiae Th239 supercont1.1, whole genome shotgun sequence
NZ_CVJQ01000001.1    -         lina-combo-v1        -          cm        1       56  2505439  2505387      -    no    1 0.74   0.2   44.9     0.049 !   Phenylobacterium immobile (ATCC 35973) strain (strain E), whole genome shotgun sequence
VGXW01000050.1       -         lina-combo-v1        -          cm        1       56      903      851      -    no    1 0.83   4.9   44.8     0.049 !   Planctomycetes bacterium isolate K_DeepCast_100m_mx_218 K_DeepCast_100m_mx_218_Ga0194127_10003594, whole genome shotgun sequence
JAEUHE010000183.1    -         lina-combo-v1        -          cm        1       56    17662    17610      -    no    1 0.57   0.0   44.8     0.049 !   Verrucomicrobiales bacterium isolate new MAG-9 k141_393232, whole genome shotgun sequence
NZ_SSOC01000007.1    -         lina-combo-v1        -          cm        1       56   192273   192329      +    no    1 0.72   0.2   44.8      0.05 !   Azoarcus nasutitermitis strain CC-YHH838 contig07, whole genome shotgun sequence
NZ_NQVN01000004.1    -         lina-combo-v1        -          cm        1       56    18718    18663      -    no    1 0.73   0.7   44.8      0.05 !   Pleomorphomonas carboxyditropha strain SVCO-16 NODE_4_length_277903_cov_23.0678, whole genome shotgun sequence
JQCU01000363.1       -         lina-combo-v1        -          cm        1       56      270      220      -    no    1 0.51   0.0   44.8      0.05 !   Acinetobacter idrijaensis strain MII contig_437, whole genome shotgun sequence
NZ_KB849586.1        -         lina-combo-v1        -          cm        1       56    51512    51462      -    no    1 0.51   0.0   44.8      0.05 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.7, whole genome shotgun sequence
NZ_KB849588.1        -         lina-combo-v1        -          cm        1       56     7453     7403      -    no    1 0.51   0.0   44.8      0.05 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.9, whole genome shotgun sequence
NZ_KB850117.1        -         lina-combo-v1        -          cm        1       56    24500    24550      +    no    1 0.51   0.0   44.8      0.05 !   Acinetobacter variabilis strain NIPH 2171 acLsq-supercont1.7, whole genome shotgun sequence
NZ_CP065053.1        -         lina-combo-v1        -          cm        1       56  5365958  5365909      -    no    1 0.66   0.0   44.8      0.05 !   Massilia sp. CCM 8941 chromosome, complete genome
NZ_WHJG01000015.1    -         lina-combo-v1        -          cm        1       56    14911    14862      -    no    1 0.66   0.0   44.8      0.05 !   Massilia frigida strain CCM 8695 NODE_15_length_153382_cov_7.680200, whole genome shotgun sequence
JADGCS010000016.1    -         lina-combo-v1        -          cm        1       56    17647    17599      -    no    1 0.61   0.0   44.8     0.051 !   Deltaproteobacteria bacterium isolate nXXbin1 nXX_bin1_NODE_16_length_53459_cov_4.814595, whole genome shotgun sequence
NC_007406.1          -         lina-combo-v1        -          cm        1       56  3087889  3087835      -    no    1 0.67   0.0   44.8     0.051 !   Nitrobacter winogradskyi Nb-255, complete sequence
VGTB01000002.1       -         lina-combo-v1        -          cm        1       56    10254    10204      -    no    1 0.55   0.0   44.8     0.051 !   Deltaproteobacteria bacterium isolate M_DeepCast_400m_m1_009 M_DeepCast_400m_m1_009_Ga0194112_10000346, whole genome shotgun sequence
NZ_LMNU01000012.1    -         lina-combo-v1        -          cm        1       56   700490   700434      -    no    1 0.68   0.0   44.8     0.051 !   Methylobacterium sp. Leaf125 contig_2, whole genome shotgun sequence
NZ_LMIB01000012.1    -         lina-combo-v1        -          cm        1       56   897410   897466      +    no    1 0.68   0.0   44.8     0.051 !   Sphingomonas sp. Root710 contig_2, whole genome shotgun sequence
CM001438.1           -         lina-combo-v1        -          cm        1       56  5095223  5095277      +    no    1 0.73   0.0   44.8     0.051 !   Burkholderiales bacterium JOSHI_001 chromosome, whole genome shotgun sequence
JAGOCE010000006.1    -         lina-combo-v1        -          cm        1       56    16982    16934      -    no    1 0.55   0.0   44.7     0.052 !   Candidatus Ozemobacteraceae bacterium isolate Go_SlDig_bin_287 Go_SlDig_3423_length_33671_cov_7.643185, whole genome shotgun sequence
NZ_RKMB01000002.1    -         lina-combo-v1        -          cm        1       56   191613   191663      +    no    1 0.75   0.0   44.7     0.052 !   Ramlibacter sp. WS9 NODE_2_length_612727_cov_37.2678_ID_3073, whole genome shotgun sequence
NZ_SGWV01000007.1    -         lina-combo-v1        -          cm        1       56   519789   519844      +    no    1 0.79   1.4   44.7     0.053 !   Leptothrix mobilis strain DSM 10617 Ga0310535_101, whole genome shotgun sequence
JACJIB010000007.1    -         lina-combo-v1        -          cm        1       56   312082   312027      -    no    1 0.80   1.8   44.7     0.053 !   Methylorubrum thiocyanatum strain DSM 11490 Ga0415277_07, whole genome shotgun sequence
NZ_BJZU01000028.1    -         lina-combo-v1        -          cm        1       56    83216    83161      -    no    1 0.80   1.8   44.7     0.053 !   Methylobacterium oxalidis strain NBRC 107715 sequence028, whole genome shotgun sequence
NZ_CP029173.1        -         lina-combo-v1        -          cm        1       56  1964812  1964757      -    no    1 0.80   1.8   44.7     0.053 !   Methylobacterium sp. DM1 chromosome, complete genome
NZ_CABFVH010000003.1 -         lina-combo-v1        -          cm        1       56    35444    35389      -    no    1 0.80   1.8   44.7     0.053 !   Methylobacterium dankookense strain SW08-7, whole genome shotgun sequence
NZ_JACWCT010000076.1 -         lina-combo-v1        -          cm        1       56    44089    44034      -    no    1 0.80   1.8   44.7     0.053 !   Methylobacterium sp. IF7SW-B2 scaffold115_cov45279_read145, whole genome shotgun sequence
NZ_CP043627.1        -         lina-combo-v1        -          cm        1       56  6521872  6521927      +    no    1 0.80   1.8   44.7     0.053 !   Methylobacterium aquaticum strain BG2 chromosome, complete genome
NZ_LABY01000184.1    -         lina-combo-v1        -          cm        1       56    60791    60736      -    no    1 0.80   1.8   44.7     0.053 !   Methylobacterium variabile strain DSM 16961 contig_184, whole genome shotgun sequence
NZ_LABX01000146.1    -         lina-combo-v1        -          cm        1       56    32282    32227      -    no    1 0.80   1.8   44.7     0.053 !   Methylobacterium aquaticum strain DSM 16371 contig_146, whole genome shotgun sequence
CP036352.1           -         lina-combo-v1        -          cm        1       56  2687453  2687398      -    no    1 0.70   0.0   44.7     0.053 !   Phycisphaerae bacterium RAS2 chromosome, complete genome
NZ_CP067393.1        -         lina-combo-v1        -          cm        1       56  2253022  2253077      +    no    1 0.52   0.0   44.7     0.054 !   Entomomonas sp. F2A chromosome, complete genome
NZ_BMZN01000004.1    -         lina-combo-v1        -          cm        1       56   321823   321886      +    no    1 0.53   0.0   44.7     0.054 !   Alcaligenes pakistanensis strain KCTC 42083 sequence04, whole genome shotgun sequence
NZ_LKKO01000070.1    -         lina-combo-v1        -          cm        1       56    21665    21609      -    no    1 0.79   1.6   44.7     0.054 !   Methylobacterium sp. GXS13 contigs60, whole genome shotgun sequence
MNXB01000049.1       -         lina-combo-v1        -          cm        1       56     7425     7479      +    no    1 0.56   0.0   44.6     0.055 !   Elusimicrobia bacterium CG1_02_37_114 cg_0.2_sub10_scaffold_842_c, whole genome shotgun sequence
JADJPQ010000009.1    -         lina-combo-v1        -          cm        1       56   253429   253482      +    no    1 0.72   0.0   44.6     0.055 !   Planctomycetes bacterium isolate Fred_18-Q3-R57-64_BATAC.530 tig00007322-10-4181700, whole genome shotgun sequence
LSIG01000021.1       -         lina-combo-v1        -          cm        1       56     1083     1138      +    no    1 0.77   0.4   44.6     0.055 !   Rhizobiales bacterium CCH10-E5 CCH10-E5_contig21, whole genome shotgun sequence
NZ_SEOO01000066.1    -         lina-combo-v1        -          cm        1       56     8381     8436      +    no    1 0.68   0.0   44.6     0.055 !   Sphingobium cupriresistens strain CCTCC AB 2011146 NODE_66_length_11014_cov_51.044365, whole genome shotgun sequence
DIXK01000029.1       -         lina-combo-v1        -          cm        1       56     7451     7395      -    no    1 0.68   0.0   44.6     0.055 !   TPA_asm: Verrucomicrobia subdivision 3 bacterium UBA6082 UBA6082_contig_897, whole genome shotgun sequence
NZ_RAPG01000013.1    -         lina-combo-v1        -          cm        1       56   118397   118341      -    no    1 0.68   0.0   44.6     0.055 !   Pusillimonas ginsengisoli strain SBSA NODE_13_length_150013_cov_99.446671, whole genome shotgun sequence
NZ_CP054841.1        -         lina-combo-v1        -          cm        1       56   520038   520090      +    no    1 0.79   1.3   44.6     0.056 !   Acidovorax antarcticus strain 16-35-5 plasmid unnamed1, complete sequence
NZ_CP070975.1        -         lina-combo-v1        -          cm        1       56   387721   387657      -    no    1 0.54   0.0   44.6     0.056 !   Alcaligenes sp. SORT26 chromosome, complete genome
NZ_LMQW01000052.1    -         lina-combo-v1        -          cm        1       56     6498     6447      -    no    1 0.73   0.0   44.6     0.056 !   Aureimonas sp. Leaf427 contig_8, whole genome shotgun sequence
NKIK01000021.1       -         lina-combo-v1        -          cm        1       56    56520    56579      +    no    1 0.68   0.0   44.6     0.057 !   Burkholderiales bacterium PBB3 NODE_431, whole genome shotgun sequence
MNYA01000023.1       -         lina-combo-v1        -          cm        1       56     2011     2060      +    no    1 0.58   0.0   44.6     0.057 !   Bacterium CG2_30_54_10 isolate CG2_30_54_10 cg2_3.0_scaffold_15751_c, whole genome shotgun sequence
JACQHI010000456.1    -         lina-combo-v1        -          cm        1       56     5672     5725      +    no    1 0.63   0.0   44.6     0.057 !   Lentisphaerae bacterium isolate NC_groundwater_1095_Ag_S2p5_61_52 S_2p5_S6_coassembly_k141_4928502, whole genome shotgun sequence
JADGCU010000021.1    -         lina-combo-v1        -          cm        1       56    13412    13465      +    no    1 0.65   0.0   44.6     0.057 !   Candidatus Omnitrophica bacterium isolate nXXbin4 nXX_bin4_NODE_158_length_29252_cov_6.924068, whole genome shotgun sequence
NC_015556.1          -         lina-combo-v1        -          cm        1       56  1662414  1662472      +    no    1 0.73   0.0   44.6     0.057 !   Pseudomonas fulva 12-X, complete sequence
PLOH01000151.1       -         lina-combo-v1        -          cm        1       56    12088    12140      +    no    1 0.68   0.0   44.6     0.057 !   Opitutae bacterium isolate fen_1464 73.20120800_E1D.18_contig_2415, whole genome shotgun sequence
JACRDQ010000036.1    -         lina-combo-v1        -          cm        1       56    91352    91299      -    no    1 0.74   0.0   44.5     0.057 !   Elusimicrobia bacterium isolate NC_groundwater_1676_Pr3_B-0.1um_68_27 SR-2_scaffold_141_3271276, whole genome shotgun sequence
DBQU01000106.1       -         lina-combo-v1        -          cm        1       56    38777    38720      -    no    1 0.53   0.0   44.5     0.058 !   TPA_asm: Deltaproteobacteria bacterium UBA1386 UBA1386_contig_6495, whole genome shotgun sequence
MIBJ01000055.1       -         lina-combo-v1        -          cm        1       56    13038    13092      +    no    1 0.47   0.0   44.5     0.058 !   Spirochaetes bacterium RBG_16_49_21 RBG_16_scaffold_557, whole genome shotgun sequence
JAEUHE010000183.1    -         lina-combo-v1        -          cm        1       56    17375    17323      -    no    1 0.62   0.0   44.5     0.059 !   Verrucomicrobiales bacterium isolate new MAG-9 k141_393232, whole genome shotgun sequence
WOUR01000040.1       -         lina-combo-v1        -          cm        1       56    40129    40077      -    no    1 0.79   0.8   44.5     0.059 !   Rhodospirillaceae bacterium isolate X2_MaxBin.011 scaffold_232, whole genome shotgun sequence
NC_010162.1          -         lina-combo-v1        -          cm        1       56  4580779  4580721      -    no    1 0.76   0.3   44.5     0.059 !   Sorangium cellulosum So ce56, complete sequence
NZ_JACYXF010000006.1 -         lina-combo-v1        -          cm        1       56    77832    77780      -    no    1 0.68   0.0   44.5      0.06 !   Noviherbaspirillum malthae strain CC-AFH3 Scaffold6_1, whole genome shotgun sequence
NZ_CP029211.1        -         lina-combo-v1        -          cm        1       56    33883    33829      -    no    1 0.67   0.0   44.5      0.06 !   Aquabacterium olei strain NBRC 110486 plasmid pTB101, complete sequence
NZ_JADKYZ010000002.1 -         lina-combo-v1        -          cm        1       56   360007   359952      -    no    1 0.68   0.0   44.5      0.06 !   Diaphorobacter sp. NR2-3-3-1 contig2, whole genome shotgun sequence
CABIKM010000022.1    -         lina-combo-v1        -          cm        1       56    16001    15943      -    no    1 0.63   0.0   44.4      0.06 !   Candidatus Methylomirabilis sp. lanth genome assembly, contig: CONTIG000022, whole genome shotgun sequence
JAFGRF010000193.1    -         lina-combo-v1        -          cm        1       56       97       44      -    no    1 0.76   0.1   44.4      0.06 !   Candidate division WOR-3 bacterium isolate Zod_Metabat.816 k87_4700761, whole genome shotgun sequence
NZ_FOOA01000002.1    -         lina-combo-v1        -          cm        1       56   105242   105297      +    no    1 0.73   0.0   44.4      0.06 !   Aureimonas phyllosphaerae strain L9-753,KACC 16231,DSM 25026, whole genome shotgun sequence
CAIZQW010000092.1    -         lina-combo-v1        -          cm        1       56    45392    45340      -    no    1 0.62   0.0   44.4     0.061 !   uncultured bacterium isolate Loc090721-8-6m_bin-0330 genome assembly, contig: bin-0330:092/466, whole genome shotgun sequence
JACRMN010000012.1    -         lina-combo-v1        -          cm        1       56   949967   949911      -    no    1 0.75   0.2   44.4     0.061 !   Deltaproteobacteria bacterium isolate NC_groundwater_1908_Pr3_S2p5_74_37 SR2-18-S2p5_coassembly_scaffold_47894, whole genome shotgun sequence
NZ_CP024608.1        -         lina-combo-v1        -          cm        1       56  5502654  5502605      -    no    1 0.66   0.0   44.4     0.061 !   Massilia violaceinigra strain B2 chromosome
UVIF01000001.1       -         lina-combo-v1        -          cm        1       56   315250   315189      -    no    1 0.68   0.0   44.4     0.061 !   Pseudomonas sp. 286 isolate p4.G6 genome assembly, contig: 1, whole genome shotgun sequence
NZ_JACMYH010000001.1 -         lina-combo-v1        -          cm        1       56  1359265  1359204      -    no    1 0.68   0.0   44.4     0.061 !   Pseudomonas baltica strain MBT-2 PS60_contig_1, whole genome shotgun sequence
NZ_KB849584.1        -         lina-combo-v1        -          cm        1       56     1651     1701      +    no    1 0.47   0.0   44.4     0.061 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.5, whole genome shotgun sequence
NZ_KB849584.1        -         lina-combo-v1        -          cm        1       56     9007     9057      +    no    1 0.47   0.0   44.4     0.061 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.5, whole genome shotgun sequence
NZ_JYLN01000001.1    -         lina-combo-v1        -          cm        1       56    97152    97214      +    no    1 0.60   0.0   44.4     0.061 !   Pseudomonas paralactis strain DSM 29164 1_884981_17.7329, whole genome shotgun sequence
SCVW01000034.1       -         lina-combo-v1        -          cm        1       56   280382   280438      +    no    1 0.42   0.0   44.4     0.062 !   Smithella sp. isolate SDB_sulfate1 contig-11000002, whole genome shotgun sequence
NZ_RCWT01000002.1    -         lina-combo-v1        -          cm        1       56     3508     3559      +    no    1 0.67   0.0   44.4     0.062 !   Sphingomonas sp. PP-F2F-G114-C0414 Ga0191679_111, whole genome shotgun sequence
