#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_SEIL01000087.1    -         nhaA-I               RF03057    cm        1       55      289      239      -    no    1 0.49   0.0   51.0   8.5e-07 !   Acinetobacter lwoffii strain AL_065 NODE_83_length_12254_cov_23.0646, whole genome shotgun sequence
NZ_CDMV01000089.1    -         nhaA-I               RF03057    cm        1       55   264926   264972      +    no    1 0.70   0.0   11.1     4e+03 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_JYOF01000001.1    -         nhaA-I               RF03057    cm        1       55    37209    37146      -    no    1 0.75   0.7   11.1     4e+03 ?   Pseudomonas sp. 2(2015) contig1, whole genome shotgun sequence
NZ_MDCP01000204.1    -         nhaA-I               RF03057    cm       40       51    82762    82751      -    no    1 0.75   0.0   11.0     4e+03 ?   Geobacillus thermoleovorans strain N7 NODE_7_length_107845_cov_45.8626, whole genome shotgun sequence
NZ_MRVD01000035.1    -         nhaA-I               RF03057    cm       40       51     3225     3214      -    no    1 0.75   0.0   11.0     4e+03 ?   Ensifer adhaerens strain X097 Scaffold53, whole genome shotgun sequence
NZ_MLFE01000002.1    -         nhaA-I               RF03057    cm       40       51   162133   162144      +    no    1 0.75   0.0   11.0     4e+03 ?   Pantoea allii strain LMG 24248 Contig0002_, whole genome shotgun sequence
NZ_MLFE01000005.1    -         nhaA-I               RF03057    cm       40       51   205597   205608      +    no    1 0.75   0.0   11.0     4e+03 ?   Pantoea allii strain LMG 24248 Contig0005_, whole genome shotgun sequence
NZ_JACJNF010000006.1 -         nhaA-I               RF03057    cm       40       51   251628   251639      +    no    1 0.75   0.0   11.0     4e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_06, whole genome shotgun sequence
NZ_PYUR01000023.1    -         nhaA-I               RF03057    cm       40       51   471123   471112      -    no    1 0.75   0.0   11.0     4e+03 ?   Salmonella enterica subsp. enterica serovar Typhimurium strain OLF-FSR1-ST-44 1, whole genome shotgun sequence
NZ_QDLQ01000002.1    -         nhaA-I               RF03057    cm       40       51   229351   229340      -    no    1 0.75   0.0   11.0     4e+03 ?   Salmonella enterica strain 235 NODE_2_length_374861_cov_15.2637, whole genome shotgun sequence
NZ_CDRS01000221.1    -         nhaA-I               RF03057    cm       40       51      671      682      +    no    1 0.75   0.0   11.0     4e+03 ?   Escherichia coli strain 46A_L1, whole genome shotgun sequence
NZ_SRUB01000381.1    -         nhaA-I               RF03057    cm       40       51      215      226      +    no    1 0.75   0.0   11.0     4e+03 ?   Mesorhizobium sp. M1C.F.Ca.ET.189.01.1.1 NODE_382_length_292_cov_0.278788, whole genome shotgun sequence
NZ_LHMF01000026.1    -         nhaA-I               RF03057    cm       40       51   241850   241861      +    no    1 0.75   0.0   11.0     4e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51240 N51240_contig_26, whole genome shotgun sequence
NZ_LHNW01000008.1    -         nhaA-I               RF03057    cm       40       51   136767   136778      +    no    1 0.75   0.0   11.0     4e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51287 N51287_contig_8, whole genome shotgun sequence
NZ_LHLX01000029.1    -         nhaA-I               RF03057    cm       40       51    97552    97541      -    no    1 0.75   0.0   11.0     4e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50442 N50442_contig_29, whole genome shotgun sequence
NZ_LHLF01000009.1    -         nhaA-I               RF03057    cm       40       51   213378   213367      -    no    1 0.75   0.0   11.0     4e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50420 N50420_contig_9, whole genome shotgun sequence
NZ_LHMA01000001.1    -         nhaA-I               RF03057    cm       40       51   137115   137126      +    no    1 0.75   0.0   11.0     4e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50445 N50445_contig_1, whole genome shotgun sequence
NZ_VKDK01000020.1    -         nhaA-I               RF03057    cm       40       51      848      837      -    no    1 0.75   0.0   11.0     4e+03 ?   Corynebacterium aurimucosum strain 2274 NODE_20_length_50975_cov_280.055, whole genome shotgun sequence
NZ_VKDH01000003.1    -         nhaA-I               RF03057    cm       40       51   129559   129548      -    no    1 0.75   0.0   11.0     4e+03 ?   Corynebacterium aurimucosum strain 2218 NODE_3_length_220989_cov_192.373, whole genome shotgun sequence
NZ_JACJNC010000001.1 -         nhaA-I               RF03057    cm       40       51   369963   369974      +    no    1 0.75   0.0   11.0     4e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_01, whole genome shotgun sequence
NZ_JACJMT010000005.1 -         nhaA-I               RF03057    cm       40       51   215608   215619      +    no    1 0.75   0.0   11.0     4e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_05, whole genome shotgun sequence
NZ_JAAQPR010000003.1 -         nhaA-I               RF03057    cm        1       55    18288    18334      +    no    1 0.70   0.0   11.0   4.1e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000038, whole genome shotgun sequence
NZ_MRZP01000003.1    -         nhaA-I               RF03057    cm        1       55   144671   144619      -    no    1 0.66   0.0   11.0   4.1e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_3_length_160971_cov_91.5543_ID_5, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm        1       55   730490   730528      +    no    1 0.62   0.0   11.0   4.1e+03 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_JACJNC010000006.1 -         nhaA-I               RF03057    cm       39       52    88653    88666      +    no    1 0.86   0.0   11.0   4.1e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_06, whole genome shotgun sequence
NZ_SRUP01000305.1    -         nhaA-I               RF03057    cm       39       52       71       84      +    no    1 0.86   0.0   11.0   4.1e+03 ?   Mesorhizobium sp. M1C.F.Ca.ET.204.01.1.1 NODE_305_length_344_cov_0.299539, whole genome shotgun sequence
NZ_VAMP01000112.1    -         nhaA-I               RF03057    cm        1       55      130       52      -    no    1 0.66   0.0   11.0   4.1e+03 ?   Acinetobacter baumannii strain Ab10 B10_L1.R1.clean__paired__contig_116, whole genome shotgun sequence
NZ_JYOF01000015.1    -         nhaA-I               RF03057    cm        1       55   189326   189396      +    no    1 0.75   0.3   11.0   4.2e+03 ?   Pseudomonas sp. 2(2015) contig15, whole genome shotgun sequence
NZ_JAJTVG010000006.1 -         nhaA-I               RF03057    cm        1       55   132841   132801      -    no    1 0.56   0.0   11.0   4.2e+03 ?   Lactiplantibacillus plantarum strain IMI 507027 contig_6, whole genome shotgun sequence
NZ_PEDB01000023.1    -         nhaA-I               RF03057    cm        4       55    64850    64893      +    no    1 0.73   0.0   11.0   4.2e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000023, whole genome shotgun sequence
NZ_RDCN01000045.1    -         nhaA-I               RF03057    cm       37       54    14619    14602      -    no    1 0.67   0.0   11.0   4.2e+03 ?   Escherichia coli strain CFFY144 CFFY144_scaffold45.1_size38060, whole genome shotgun sequence
NZ_CDRR01000057.1    -         nhaA-I               RF03057    cm       37       54     3394     3377      -    no    1 0.67   0.0   11.0   4.2e+03 ?   Escherichia coli strain 138B_L2, whole genome shotgun sequence
NZ_CABGVC010000001.1 -         nhaA-I               RF03057    cm       28       55   242127   242157      +    no    1 0.68   0.0   10.9   4.3e+03 ?   Klebsiella pneumoniae strain 4928STDY7071672, whole genome shotgun sequence
NZ_WJWO01000002.1    -         nhaA-I               RF03057    cm       28       55   144692   144722      +    no    1 0.68   0.0   10.9   4.3e+03 ?   Klebsiella pneumoniae strain CriePir26 NODE_2_length_323409_cov_54.5877, whole genome shotgun sequence
NZ_ACEQ02000003.1    -         nhaA-I               RF03057    cm        1       55    56539    56576      +    no    1 0.63   0.0   10.9   4.3e+03 ?   Neisseria lactamica ATCC 23970 N_lactamica-1.0.2_Cont2.1, whole genome shotgun sequence
NZ_JAOA01000007.1    -         nhaA-I               RF03057    cm        5       55    17516    17563      +    no    1 0.71   0.0   10.9   4.3e+03 ?   Mycobacterium kansasii 662 gmk662.contig.6, whole genome shotgun sequence
NZ_LUSX01000027.1    -         nhaA-I               RF03057    cm       37       54    19713    19730      +    no    1 0.56   0.0   10.9   4.3e+03 ?   Lonsdalea populi strain CFCC 11265 contig00027, whole genome shotgun sequence
NZ_LUSZ01000035.1    -         nhaA-I               RF03057    cm       37       54    13346    13329      -    no    1 0.56   0.0   10.9   4.3e+03 ?   Lonsdalea populi strain CFCC 11263 contig00035, whole genome shotgun sequence
NZ_CABGVC010000007.1 -         nhaA-I               RF03057    cm        1       55   186591   186520      -    no    1 0.74   0.4   10.9   4.3e+03 ?   Klebsiella pneumoniae strain 4928STDY7071672, whole genome shotgun sequence
NZ_WJWO01000012.1    -         nhaA-I               RF03057    cm        1       55   187093   187022      -    no    1 0.74   0.4   10.9   4.3e+03 ?   Klebsiella pneumoniae strain CriePir26 NODE_12_length_197015_cov_54.1892, whole genome shotgun sequence
NZ_JYOF01000004.1    -         nhaA-I               RF03057    cm       27       55   428466   428436      -    no    1 0.74   0.0   10.9   4.4e+03 ?   Pseudomonas sp. 2(2015) contig4, whole genome shotgun sequence
NZ_AEPG01000435.1    -         nhaA-I               RF03057    cm        1       55     1915     1859      -    no    1 0.68   0.0   10.9   4.4e+03 ?   Neisseria sicca DS1 contig00435, whole genome shotgun sequence
NZ_LUSX01000079.1    -         nhaA-I               RF03057    cm        1       55      286      319      +    no    1 0.79   0.1   10.9   4.4e+03 ?   Lonsdalea populi strain CFCC 11265 contig00079, whole genome shotgun sequence
NZ_LUSZ01000125.1    -         nhaA-I               RF03057    cm        1       55     1090     1057      -    no    1 0.79   0.1   10.9   4.4e+03 ?   Lonsdalea populi strain CFCC 11263 contig00125, whole genome shotgun sequence
NZ_JYOF01000019.1    -         nhaA-I               RF03057    cm        1       55    82220    82302      +    no    1 0.65   0.0   10.9   4.5e+03 ?   Pseudomonas sp. 2(2015) contig19, whole genome shotgun sequence
NZ_JYOF01000004.1    -         nhaA-I               RF03057    cm        1       55   396479   396421      -    no    1 0.66   0.0   10.9   4.5e+03 ?   Pseudomonas sp. 2(2015) contig4, whole genome shotgun sequence
NZ_VKUH01000493.1    -         nhaA-I               RF03057    cm       38       53      160      145      -    no    1 0.62   0.0   10.9   4.5e+03 ?   Escherichia coli strain AS012419 AS012419_493, whole genome shotgun sequence
NZ_JYOF01000012.1    -         nhaA-I               RF03057    cm        1       55   116996   116940      -    no    1 0.70   0.0   10.9   4.5e+03 ?   Pseudomonas sp. 2(2015) contig12, whole genome shotgun sequence
NZ_NQXZ01000042.1    -         nhaA-I               RF03057    cm        1       55    73457    73398      -    no    1 0.67   0.0   10.9   4.5e+03 ?   Pseudomonas congelans strain RMX815.1a seq115_Contig42, whole genome shotgun sequence
NZ_JYOF01000010.1    -         nhaA-I               RF03057    cm        1       55   208401   208345      -    no    1 0.68   0.0   10.9   4.5e+03 ?   Pseudomonas sp. 2(2015) contig10, whole genome shotgun sequence
NZ_LTBH01000008.1    -         nhaA-I               RF03057    cm       38       53    24189    24204      +    no    1 1.00   1.0   10.9   4.5e+03 ?   Corynebacterium striatum strain 2247 lasergene_23_len_T_597764, whole genome shotgun sequence
NZ_LBCN01000050.1    -         nhaA-I               RF03057    cm       38       53     7932     7947      +    no    1 1.00   1.0   10.9   4.5e+03 ?   Corynebacterium striatum strain 2023 Consensus_from_Contig_37_mapping, whole genome shotgun sequence
NZ_JACJMT010000009.1 -         nhaA-I               RF03057    cm       35       55   188412   188392      -    no    1 0.62   0.0   10.9   4.5e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_09, whole genome shotgun sequence
NZ_MQNP01000769.1    -         nhaA-I               RF03057    cm        1       55      132       38      -    no    1 0.68   0.0   10.9   4.5e+03 ?   Stenotrophomonas sp. KAs 5-3 NODE_776_length_202_cov_1.05825_ID_1551, whole genome shotgun sequence
NZ_JTCJ01000004.1    -         nhaA-I               RF03057    cm        1       55     5654     5724      +    no    1 0.72   0.1   10.8   4.5e+03 ?   Pseudomonas putida strain SQ1 Contig_294_PpSQ1, whole genome shotgun sequence
NZ_VKDG01000002.1    -         nhaA-I               RF03057    cm       37       54   145237   145221      -    no    1 0.88   0.0   10.8   4.6e+03 ?   Corynebacterium aurimucosum strain 2271 NODE_2_length_240435_cov_71.9996, whole genome shotgun sequence
NZ_VKDJ01000001.1    -         nhaA-I               RF03057    cm       37       54   125353   125369      +    no    1 0.88   0.0   10.8   4.6e+03 ?   Corynebacterium aurimucosum strain 2226 NODE_1_length_276229_cov_42.4508, whole genome shotgun sequence
NZ_VKDH01000007.1    -         nhaA-I               RF03057    cm       37       54   113940   113924      -    no    1 0.88   0.0   10.8   4.6e+03 ?   Corynebacterium aurimucosum strain 2218 NODE_7_length_167477_cov_162.238, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55  1976416  1976471      +    no    1 0.64   0.0   10.8   4.6e+03 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_JTCJ01000328.1    -         nhaA-I               RF03057    cm        1       55     1812     1769      -    no    1 0.64   0.0   10.8   4.6e+03 ?   Pseudomonas putida strain SQ1 Contig_631_PpSQ1, whole genome shotgun sequence
NZ_JYOF01000021.1    -         nhaA-I               RF03057    cm        1       55    24766    24712      -    no    1 0.73   0.0   10.8   4.6e+03 ?   Pseudomonas sp. 2(2015) contig21, whole genome shotgun sequence
NZ_VKVJ01001054.1    -         nhaA-I               RF03057    cm       36       55      217      198      -    5'    2 0.85   0.0   10.8   4.6e+03 ?   Klebsiella aerogenes strain AS012385 AS012385_1058, whole genome shotgun sequence
NZ_CAKZ01000167.1    -         nhaA-I               RF03057    cm        1       55    22806    22857      +    no    1 0.71   0.0   10.8   4.6e+03 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_MRVD01000058.1    -         nhaA-I               RF03057    cm       29       55    13540    13515      -    no    1 0.62   0.0   10.8   4.6e+03 ?   Ensifer adhaerens strain X097 Scaffold86, whole genome shotgun sequence
NZ_BADM01000269.1    -         nhaA-I               RF03057    cm        1       55     6731     6676      -    no    1 0.75   0.1   10.8   4.7e+03 ?   Enterobacter sp. B509, whole genome shotgun sequence
NZ_JYOF01000011.1    -         nhaA-I               RF03057    cm        1       55   208914   208960      +    no    1 0.70   0.0   10.8   4.7e+03 ?   Pseudomonas sp. 2(2015) contig11, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm        1       55   484489   484447      -    no    1 0.74   0.0   10.8   4.7e+03 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_QSUZ01000020.1    -         nhaA-I               RF03057    cm        1       55    21177    21132      -    no    1 0.52   0.0   10.8   4.7e+03 ?   Blautia obeum strain OM03-6 OM03-6.Scaf20, whole genome shotgun sequence
NZ_QSCN01000024.1    -         nhaA-I               RF03057    cm        1       55    17194    17149      -    no    1 0.52   0.0   10.8   4.7e+03 ?   Blautia obeum strain OF03-14 OF03-14.Scaf24, whole genome shotgun sequence
NZ_VKDJ01000006.1    -         nhaA-I               RF03057    cm        1       55    39554    39590      +    no    1 0.65   0.0   10.8   4.7e+03 ?   Corynebacterium aurimucosum strain 2226 NODE_6_length_175706_cov_50.1925, whole genome shotgun sequence
NZ_MLFE01000031.1    -         nhaA-I               RF03057    cm        1       55    37377    37417      +    no    1 0.54   0.0   10.8   4.7e+03 ?   Pantoea allii strain LMG 24248 Contig0031_, whole genome shotgun sequence
NZ_SEIL01000034.1    -         nhaA-I               RF03057    cm        1       55    29499    29529      +    no    1 0.65   0.0   10.8   4.7e+03 ?   Acinetobacter lwoffii strain AL_065 NODE_34_length_35263_cov_32.5693, whole genome shotgun sequence
NZ_JYOF01000014.1    -         nhaA-I               RF03057    cm        1       55    63012    63066      +    no    1 0.67   0.0   10.8   4.8e+03 ?   Pseudomonas sp. 2(2015) contig14, whole genome shotgun sequence
NZ_SZVD01000050.1    -         nhaA-I               RF03057    cm        1       55    17691    17631      -    no    1 0.64   0.0   10.7   4.8e+03 ?   Enterobacter ludwigii strain ES-1 NODE_50_length_18114_cov_185.526861, whole genome shotgun sequence
NZ_JAAQQT010000486.1 -         nhaA-I               RF03057    cm        1       55       46      101      +    no    1 0.66   0.0   10.7   4.8e+03 ?   Aquabacterium sp. A08 8278, whole genome shotgun sequence
NZ_JYOF01000003.1    -         nhaA-I               RF03057    cm        1       55  1057904  1057866      -    no    1 0.72   0.0   10.7   4.8e+03 ?   Pseudomonas sp. 2(2015) contig3, whole genome shotgun sequence
NZ_JYOF01000020.1    -         nhaA-I               RF03057    cm       28       55    42543    42517      -    no    1 0.67   0.0   10.7   4.8e+03 ?   Pseudomonas sp. 2(2015) contig20, whole genome shotgun sequence
NZ_PEDB01000041.1    -         nhaA-I               RF03057    cm        1       55     5935     6013      +    no    1 0.62   0.0   10.7   4.9e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000041, whole genome shotgun sequence
NZ_MRZP01000014.1    -         nhaA-I               RF03057    cm        1       55    27538    27608      +    no    1 0.69   0.0   10.7   4.9e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_14_length_124457_cov_86.9699_ID_27, whole genome shotgun sequence
NZ_MRVD01000043.1    -         nhaA-I               RF03057    cm       39       52    22082    22095      +    no    1 0.71   0.0   10.7   4.9e+03 ?   Ensifer adhaerens strain X097 Scaffold66, whole genome shotgun sequence
NZ_NXEG01000203.1    -         nhaA-I               RF03057    cm        3       55        1       55      +    5'    2 0.71   0.0   10.7     5e+03 ?   Nocardia farcinica strain CNM20091955 CJ469_205, whole genome shotgun sequence
NZ_JYOF01000015.1    -         nhaA-I               RF03057    cm        1       55   149345   149294      -    no    1 0.73   0.1   10.7     5e+03 ?   Pseudomonas sp. 2(2015) contig15, whole genome shotgun sequence
NZ_MRVD01000007.1    -         nhaA-I               RF03057    cm        1       55    42730    42775      +    no    1 0.67   0.0   10.7     5e+03 ?   Ensifer adhaerens strain X097 Scaffold7, whole genome shotgun sequence
NZ_RDBW01000020.1    -         nhaA-I               RF03057    cm        1       55    63984    64027      +    no    1 0.55   0.0   10.7     5e+03 ?   Pseudoalteromonas sp. J010 scaffold_19, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm       37       54   584369   584348      -    no    1 0.73   0.0   10.7     5e+03 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_AHJE01000178.1    -         nhaA-I               RF03057    cm        1       55      279      225      -    no    1 0.76   0.1   10.7     5e+03 ?   Cupriavidus basilensis OR16 contig178, whole genome shotgun sequence
NZ_JACJNF010000002.1 -         nhaA-I               RF03057    cm        1       55   430015   430064      +    no    1 0.72   0.0   10.6     5e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_02, whole genome shotgun sequence
NZ_JACJNC010000009.1 -         nhaA-I               RF03057    cm        1       55   164994   165043      +    no    1 0.72   0.0   10.6     5e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_09, whole genome shotgun sequence
NZ_JACJMT010000014.1 -         nhaA-I               RF03057    cm        1       55   100596   100645      +    no    1 0.72   0.0   10.6     5e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_14, whole genome shotgun sequence
NZ_PIDQ01001138.1    -         nhaA-I               RF03057    cm        1       55      222      271      +    no    1 0.64   0.0   10.6   5.1e+03 ?   Klebsiella pneumoniae strain A9 NODE_1138_length_583_cov_3.04386, whole genome shotgun sequence
NZ_JAOA01000001.1    -         nhaA-I               RF03057    cm        1       55  1226116  1226083      -    no    1 0.65   0.0   10.6   5.1e+03 ?   Mycobacterium kansasii 662 gmk662.contig.0, whole genome shotgun sequence
NZ_VLUM01000650.1    -         nhaA-I               RF03057    cm        1       55       80       34      -    no    1 0.55   0.0   10.6   5.1e+03 ?   Stenotrophomonas maltophilia strain AS012638 AS012638_650, whole genome shotgun sequence
NZ_VKDG01000005.1    -         nhaA-I               RF03057    cm        1       55   148484   148534      +    no    1 0.67   0.0   10.6   5.2e+03 ?   Corynebacterium aurimucosum strain 2271 NODE_5_length_192309_cov_87.9776, whole genome shotgun sequence
NZ_MRVD01000009.1    -         nhaA-I               RF03057    cm       37       54   164248   164265      +    no    1 0.72   0.0   10.6   5.3e+03 ?   Ensifer adhaerens strain X097 Scaffold9, whole genome shotgun sequence
NZ_BOMR01000036.1    -         nhaA-I               RF03057    cm        1       55      452      411      -    no    1 0.67   0.0   10.6   5.3e+03 ?   Actinoplanes octamycinicus strain NBRC 14524 sequence036, whole genome shotgun sequence
NZ_MRVD01000052.1    -         nhaA-I               RF03057    cm        1       55    22533    22433      -    no    1 0.63   0.0   10.6   5.3e+03 ?   Ensifer adhaerens strain X097 Scaffold78, whole genome shotgun sequence
NZ_CABVLX010000001.1 -         nhaA-I               RF03057    cm        1       55    80558    80464      -    no    1 0.63   0.0   10.5   5.3e+03 ?   Desulfovibrio diazotrophicus isolate Dwuxii, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55  1012057  1012137      +    no    1 0.73   1.0   10.5   5.3e+03 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_VKDG01000002.1    -         nhaA-I               RF03057    cm        1       55   123138   123185      +    no    1 0.75   0.0   10.5   5.4e+03 ?   Corynebacterium aurimucosum strain 2271 NODE_2_length_240435_cov_71.9996, whole genome shotgun sequence
NZ_VKDJ01000001.1    -         nhaA-I               RF03057    cm        1       55   147449   147402      -    no    1 0.75   0.0   10.5   5.4e+03 ?   Corynebacterium aurimucosum strain 2226 NODE_1_length_276229_cov_42.4508, whole genome shotgun sequence
NZ_VKDH01000007.1    -         nhaA-I               RF03057    cm        1       55    91850    91897      +    no    1 0.75   0.0   10.5   5.4e+03 ?   Corynebacterium aurimucosum strain 2218 NODE_7_length_167477_cov_162.238, whole genome shotgun sequence
NZ_MRVD01000004.1    -         nhaA-I               RF03057    cm        1       55   221306   221260      -    no    1 0.70   0.0   10.5   5.4e+03 ?   Ensifer adhaerens strain X097 Scaffold4, whole genome shotgun sequence
NZ_LUSZ01000073.1    -         nhaA-I               RF03057    cm        1       55      475      530      +    no    1 0.71   0.0   10.5   5.4e+03 ?   Lonsdalea populi strain CFCC 11263 contig00073, whole genome shotgun sequence
NZ_QSUZ01000004.1    -         nhaA-I               RF03057    cm        1       55    54607    54666      +    no    1 0.55   0.0   10.5   5.4e+03 ?   Blautia obeum strain OM03-6 OM03-6.Scaf4, whole genome shotgun sequence
NZ_BADM01000597.1    -         nhaA-I               RF03057    cm        1       55    18451    18405      -    no    1 0.57   0.0   10.5   5.4e+03 ?   Enterobacter sp. B509, whole genome shotgun sequence
NZ_MRVD01000008.1    -         nhaA-I               RF03057    cm        1       55   104988   105027      +    no    1 0.70   0.0   10.5   5.5e+03 ?   Ensifer adhaerens strain X097 Scaffold8, whole genome shotgun sequence
NZ_JAAQPR010000058.1 -         nhaA-I               RF03057    cm       27       55     3219     3177      -    no    1 0.67   0.0   10.5   5.5e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000452, whole genome shotgun sequence
NZ_JAAQPR010000100.1 -         nhaA-I               RF03057    cm        1       55     4730     4805      +    no    1 0.70   0.0   10.5   5.5e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00001295, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm        1       55   974915   974968      +    no    1 0.72   0.1   10.5   5.5e+03 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_JACJMT010000001.1 -         nhaA-I               RF03057    cm       37       54    17175    17192      +    no    1 0.89   0.0   10.5   5.5e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_01, whole genome shotgun sequence
NZ_CABEFZ010000020.1 -         nhaA-I               RF03057    cm        1       55    45987    46030      +    no    1 0.68   0.0   10.5   5.5e+03 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_CABMIR010000038.1 -         nhaA-I               RF03057    cm        1       55    11856    11898      +    no    1 0.58   0.0   10.5   5.6e+03 ?   Vibrio metoecus isolate MGYG-HGUT-02368, whole genome shotgun sequence
NZ_LCUD01000038.1    -         nhaA-I               RF03057    cm        1       55    11856    11898      +    no    1 0.58   0.0   10.5   5.6e+03 ?   Vibrio metoecus strain 06-2478, whole genome shotgun sequence
NZ_JACJMT010000020.1 -         nhaA-I               RF03057    cm        1       55     4043     3980      -    no    1 0.64   0.0   10.5   5.6e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_20, whole genome shotgun sequence
NZ_JAOA01000009.1    -         nhaA-I               RF03057    cm        1       55    89012    89065      +    no    1 0.70   0.0   10.5   5.6e+03 ?   Mycobacterium kansasii 662 gmk662.contig.8, whole genome shotgun sequence
NZ_PYUR01000008.1    -         nhaA-I               RF03057    cm        1       55   299203   299246      +    no    1 0.55   0.0   10.4   5.6e+03 ?   Salmonella enterica subsp. enterica serovar Typhimurium strain OLF-FSR1-ST-44 2, whole genome shotgun sequence
NZ_QDLQ01000008.1    -         nhaA-I               RF03057    cm        1       55    23888    23845      -    no    1 0.55   0.0   10.4   5.6e+03 ?   Salmonella enterica strain 235 NODE_8_length_239906_cov_12.1212, whole genome shotgun sequence
NZ_LHMF01000011.1    -         nhaA-I               RF03057    cm        1       55    82155    82198      +    no    1 0.55   0.0   10.4   5.6e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51240 N51240_contig_11, whole genome shotgun sequence
NZ_LHNW01000015.1    -         nhaA-I               RF03057    cm        1       55   383582   383625      +    no    1 0.55   0.0   10.4   5.6e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51287 N51287_contig_15, whole genome shotgun sequence
NZ_LHLX01000001.1    -         nhaA-I               RF03057    cm        1       55   383440   383483      +    no    1 0.55   0.0   10.4   5.6e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50442 N50442_contig_1, whole genome shotgun sequence
NZ_LHLF01000014.1    -         nhaA-I               RF03057    cm        1       55   383418   383461      +    no    1 0.55   0.0   10.4   5.6e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50420 N50420_contig_14, whole genome shotgun sequence
NZ_LHMA01000015.1    -         nhaA-I               RF03057    cm        1       55   431588   431545      -    no    1 0.55   0.0   10.4   5.6e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50445 N50445_contig_15, whole genome shotgun sequence
NZ_JTCJ01000062.1    -         nhaA-I               RF03057    cm        5       55    12005    11947      -    no    1 0.69   0.0   10.4   5.7e+03 ?   Pseudomonas putida strain SQ1 Contig_484_PpSQ1, whole genome shotgun sequence
NZ_PYUR01000033.1    -         nhaA-I               RF03057    cm        1       55   247276   247344      +    no    1 0.61   0.0   10.4   5.7e+03 ?   Salmonella enterica subsp. enterica serovar Typhimurium strain OLF-FSR1-ST-44 4, whole genome shotgun sequence
NZ_LHMF01000033.1    -         nhaA-I               RF03057    cm        1       55     9003     9071      +    no    1 0.61   0.0   10.4   5.7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51240 N51240_contig_33, whole genome shotgun sequence
